Site,Volume,Page(s),Type,Area,Cult age,Age max [ka],Age dated min [ka],Age [ka BP],Longitude,Latitude
P029546,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,101.901,36.539
P029547,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,101.884,36.514
P029548,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,101.969,36.584
P029549,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,101.97,36.424
P029550,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,101.952,36.412
P029551,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,101.887,36.18
P029552,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,101.978,36.16
P029553,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,101.975,36.145
P029554,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,101.975,36.125
P029555,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,101.991,36.089
P029556,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,101.945,36.102
P029557,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,101.92,36.098
P029558,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,101.918,36.087
P029559,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,101.695,36.15
P029560,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,101.768,36.131
P029561,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,101.748,36.119
P029562,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,101.827,36.087
P029563,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,101.873,36.078
P029564,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,101.873,36.067
P029565,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,101.924,36.039
P029566,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,101.948,36.01
P029567,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,101.976,36.037
P029568,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,101.21,36.135
P029569,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,101.197,36.111
P029570,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,101.212,36.081
P029571,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,101.285,36.082
P029572,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,101.36,36.05
P029573,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,101.385,36.072
P029574,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,101.459,36.072
P029575,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,101.478,36.006
P029576,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.012,36.684
P029577,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.047,36.67
P029578,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.472,36.928
P029579,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.502,36.914
P029580,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.025,36.478
P029581,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.023,36.452
P029582,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.038,36.458
P029583,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.065,36.491
P029584,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.093,36.551
P029585,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.109,36.439
P029586,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.119,36.456
P029587,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.132,36.475
P029588,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.167,36.466
P029589,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.197,36.507
P029590,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.217,36.508
P029591,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.457,36.513
P029592,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.456,36.493
P029593,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.461,36.461
P029594,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.334,36.467
P029595,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.38,36.401
P029596,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.378,36.389
P029597,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.484,36.453
P029598,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.498,36.482
P029599,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.674,36.566
P029600,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.538,36.487
P029601,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.538,36.471
P029602,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.558,36.463
P029603,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.576,36.476
P029604,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.575,36.461
P029605,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.603,36.467
P029606,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.62,36.455
P029607,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.629,36.475
P029608,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.654,36.451
P029609,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.497,36.401
P029610,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.553,36.411
P029611,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.571,36.41
P029612,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.459,36.329
P029613,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.503,36.367
P029614,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.511,36.381
P029615,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.523,36.359
P029616,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.53,36.371
P029617,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.553,36.384
P029618,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.562,36.393
P029619,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.58,36.383
P029620,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.598,36.371
P029621,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.721,36.391
P029622,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.755,36.401
P029623,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.783,36.396
P029624,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.788,36.368
P029625,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.722,36.381
P029626,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.541,36.319
P029627,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.557,36.322
P029628,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.576,36.321
P029629,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.59,36.331
P029630,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.601,36.322
P029631,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.583,36.291
P029632,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.595,36.277
P029633,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.618,36.294
P029634,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.66,36.302
P029635,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.678,36.308
P029636,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.691,36.319
P029637,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.711,36.339
P029638,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.805,36.385
P029639,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.808,36.338
P029640,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.792,36.313
P029641,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.79,36.289
P029642,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.79,36.274
P029643,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.789,36.258
P029644,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.806,36.309
P029645,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.828,36.305
P029646,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.844,36.316
P029647,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.863,36.316
P029648,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.884,36.313
P029649,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.915,36.283
P029650,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.618,36.21
P029651,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.632,36.216
P029652,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.645,36.223
P029653,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.661,36.228
P029654,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.673,36.163
P029655,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.673,36.176
P029656,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.67,36.196
P029657,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.673,36.215
P029658,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.692,36.168
P029659,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.696,36.184
P029660,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.74,36.331
P029661,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.757,36.328
P029662,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.753,36.317
P029663,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.743,36.295
P029664,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.696,36.241
P029665,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.707,36.257
P029666,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.718,36.266
P029667,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.726,36.253
P029668,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.718,36.189
P029669,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.73,36.201
P029670,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.713,36.201
P029671,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.725,36.213
P029672,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.733,36.224
P029673,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.753,36.238
P029674,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.756,36.251
P029675,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.756,36.268
P029676,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.758,36.282
P029677,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.761,36.292
P029678,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.768,36.309
P029679,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.773,36.317
P029680,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.977,36.25
P029681,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.989,36.236
P029682,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.977,36.235
P029683,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.965,36.231
P029684,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.945,36.224
P029685,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.923,36.204
P029686,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.94,36.202
P029687,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.951,36.211
P029688,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.967,36.214
P029689,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.985,36.202
P029690,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.721,36.099
P029691,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.743,36.114
P029692,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.745,36.102
P029693,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.763,36.123
P029694,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.766,36.134
P029695,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.772,36.152
P029696,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.785,36.157
P029697,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.788,36.138
P029698,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.799,36.113
P029699,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.81,36.074
P029700,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.815,36.122
P029701,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.823,36.142
P029702,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.84,36.152
P029703,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.86,36.157
P029704,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.836,36.117
P029705,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.84,36.129
P029706,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.865,36.114
P029707,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.883,36.117
P029708,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.895,36.123
P029709,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.916,36.105
P029710,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.934,36.113
P029711,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.747,36.044
P029712,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.738,35.998
P029713,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.768,36.018
P029714,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.75,35.973
P029715,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.769,35.974
P029716,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.784,35.973
P029717,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.791,35.998
P029718,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.805,36.004
P029719,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.818,36.008
P029720,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.822,36.02
P029721,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.853,36.051
P029722,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.862,36.057
P029723,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.87,36.05
P029724,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.89,36.041
P029725,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.905,36.039
P029726,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.911,36.048
P029727,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.917,36.039
P029728,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.932,36.037
P029729,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.958,36.03
P029730,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.946,36.019
P029731,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.885,36.013
P029732,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.897,36.024
P029733,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.914,36.018
P029734,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.928,36.021
P029735,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.929,36.01
P029736,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.928,35.985
P029737,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.783,35.952
P029738,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.779,35.925
P029739,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.778,35.916
P029740,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.78,35.905
P029741,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.788,35.891
P029742,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.803,35.923
P029743,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.804,35.912
P029744,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.809,35.902
P029745,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.81,35.893
P029746,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.809,35.884
P029747,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.831,35.894
P029748,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.853,35.891
P029749,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.873,35.899
P029750,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.887,35.91
P029751,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.89,35.927
P029752,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.905,35.933
P029753,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.896,35.962
P029754,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.888,35.978
P029755,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.889,35.991
P029756,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.851,35.989
P029757,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.867,35.99
P029758,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.874,35.978
P029759,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.859,35.975
P029760,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.851,35.961
P029761,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.837,35.971
P029762,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.864,35.943
P029763,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.877,35.954
P029764,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.866,35.932
P029765,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.853,35.921
P029766,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.788,35.94
P029767,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.787,35.861
P029768,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.793,35.87
P029769,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.808,35.872
P029770,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.804,35.861
P029771,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.822,35.861
P029772,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.839,35.859
P029773,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.855,35.862
P029774,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.874,35.86
P029775,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.894,35.862
P029776,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.908,35.854
P029777,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.877,35.882
P029778,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.864,35.882
P029779,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.849,35.875
P029780,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.828,35.873
P029781,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.707,35.891
P029782,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.724,35.897
P029783,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.729,35.829
P029784,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.721,35.841
P029785,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.737,35.839
P029786,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.74,35.858
P029787,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.751,35.866
P029788,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.763,35.872
P029789,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.021,36.165
P029790,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.038,36.169
P029791,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.05,36.154
P029792,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.034,36.126
P029793,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.023,36.151
P029794,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.012,36.118
P029795,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.006,36.099
P029796,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.003,36.029
P029797,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.015,36.017
P029798,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.025,36.004
P029799,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,100.641,35.869
P029800,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,100.948,35.887
P029801,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,101.498,35.937
P029802,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,101.503,35.912
P029803,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,101.536,35.905
P029804,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,101.908,35.953
P029805,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,101.925,35.95
P029806,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,101.919,35.931
P029807,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.012,35.945
P029808,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.011,35.88
P029809,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.042,35.867
P029810,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.048,35.847
P029811,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.325,35.979
P029812,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.306,35.928
P029813,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.21,35.855
P029814,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.249,35.861
P029815,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.304,35.877
P029816,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.317,35.87
P029817,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.35,35.907
P029818,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.355,35.877
P029819,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.419,35.897
P029820,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.419,35.884
P029821,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.422,35.866
P029822,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.448,35.882
P029823,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.461,35.875
P029824,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.284,35.83
P029825,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.302,35.825
P029826,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.292,35.81
P029827,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.309,35.802
P029828,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.332,35.76
P029829,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.337,35.745
P029830,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.322,35.71
P029831,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.344,35.734
P029832,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.352,35.722
P029833,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.369,35.714
P029834,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.394,35.707
P029835,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.413,35.709
P029836,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.397,35.723
P029837,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.412,35.722
P029838,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.41,35.735
P029839,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.396,35.747
P029840,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.388,35.761
P029841,Qinghai,19-20,detail-map,complete-province,Qijia,4,3.6,3.8,102.37,35.783
