Site,Volume,Page(s),Type,Area,Cult age,Age max [ka],Age dated min [ka],Age [ka BP],Longitude,Latitude
P028980,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,101.755,36.742
P028981,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,101.835,36.801
P028982,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,101.917,36.745
P028983,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.55,36.902
P028984,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.515,36.9
P028985,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.24,36.516
P028986,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.254,36.519
P028987,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.238,36.529
P028988,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.254,36.534
P028989,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.28,36.535
P028990,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.405,36.569
P028991,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.411,36.533
P028992,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.418,36.509
P028993,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.248,36.352
P028994,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.37,36.396
P028995,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.353,36.408
P028996,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.362,36.421
P028997,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.367,36.43
P028998,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.426,36.457
P028999,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.413,36.449
P029000,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.421,36.436
P029001,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.453,36.531
P029002,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.456,36.519
